title,url,color
Fox News,https://www.foxnews.com/politics,#5975a4
CNN News,https://www.cnn.com/politics,#b55d60
NBC News,https://www.cbsnews.com/politics/,#5f9e6e
CBS News,https://www.nbcnews.com/politics/2020-election,#666666
